MODEL_NODE,MODEL_NODE_3,lat,lon,Harbor1_Name,Harbor1_lat,Harbor1_lon,Harbor2_name,Harbor2_lat,Harbor2_lon
Pacific Islands,PAC,-2.095115071,120.8812016,Bintulu,3.17905753,113.0442049,Bintulu,3.17905753,113.0442049
South-Western America,SWA,-16.82561247,-69.03868192,Pampa Melchorita,-13.24905054,-76.30353061,Pampa Melchorita,-13.24905054,-76.30353061
South-Eastern America,SEA,-15.98249191,-52.691027,Guanabara Bay,-22.91115424,-43.07253951,Guanabara Bay,-22.91115424,-43.07253951
South-Eastern Europe,SEE,40.8339406,28.943869,Etki,38.73849872,26.90554886,Etki,38.73849872,26.90554886
India (with Sri Lanka and Maledives),IND,20.91888184,78.54510583,Kochi,9.980787139,76.23552123,Kochi,9.980787139,76.23552123
China (with Mongolia and North Korea),CHN,31.01388868,110.8888587,Yangshan,31.16606742,121.7139498,Yangshan,31.16606742,121.7139498
Levant,LEV,31.80137665,35.25136499,Hadera,32.44139165,34.88676542,Hadera,32.44139165,34.88676542
Eastern Africa,EAF,0.138136039,38.14436668,Lindi,-9.889473341,39.75048965,Lindi,-9.889473341,39.75048965
Iran (with Pakistan and Iraq),IRN,31.26268611,54.00826396,Bandar Abbas,27.18263464,56.29252208,Bandar Abbas,27.18263464,56.29252208
South-Western Europe,SWE,44.51111453,1.914798237,Dunkerque,51.03142846,2.3359046,Dunkerque,51.03142846,2.3359046
Japan and South Korea,JSK,36.27574069,137.4006711,Sodegaura,35.41720981,140.0085411,Sodegaura,35.41720981,140.0085411
Northern Africa,NAF,30.5042015,-4.413326249,Arzew,35.86002517,-0.350422225,Arzew,35.86002517,-0.350422225
Central America,CEA,19.3845411,-98.95347698,Energia Costa Azul,32.00004646,-116.8377283,Energia Costa Azul,32.00004646,-116.8377283
Western Africa,WAF,12.31235844,12.84892563,Bonny,4.415515106,7.151305286,Bonny,4.415515106,7.151305286
South-Eastern Asia,EAS,16.39021726,102.4637611,Tha Phut,12.70554763,101.1400437,Tha Phut,12.70554763,101.1400437
Eastern Europe,EAE,50.31806516,23.37819104,_winouj_cie,53.89946758,14.33632,_winouj_cie,53.89946758,14.33632
Russia (with Belarus and Caucasus),RUS,64.57611411,53.24291907,Yamal,71.26499451,72.09078852,Yamal,71.26499451,72.09078852
Southern Africa,SAF,-27.08296315,22.98596786,Durban,-29.9304716,30.97483614,Durban,-29.9304716,30.97483614
Gulf Region,GLF,24.51455758,47.19547549,Qatargas,25.91070201,51.54343309,Qatargas,25.91070201,51.54343309
Central Asia,CAS,40.13976464,64.51615158,Turkmenbashi,40.01590887,52.94585203,Turkmenbashi,40.01590887,52.94585203
Central Europe,CEE,50.92618271,9.672406025,Gate,51.96250897,4.083167849,Gate,51.96250897,4.083167849
Northern Europe,NOE,63.52574861,15.64896804,Hammerfest,70.6705485,23.69654244,Hammerfest,70.6705485,23.69654244
British Islands,BRI,52.7718134,-2.280718006,Grain,51.42697806,0.738491319,Grain,51.42697806,0.738491319
United States of America,USA,44.88595768,-118.6711295,Freeport,28.95685538,-95.31074851,Freeport,28.95685538,-95.31074851
Canada,CAN,58.23635911,-104.9369701,Saint John,45.21198415,-66.15776735,Saint John,45.21198415,-66.15776735
Australia and New Zealand,ANZ,-26.94810065,133.9177377,QCLNG,-23.80718756,151.243277,QCLNG,-23.80718756,151.243277
N.A.,N.A.,-79.90740621,0.0000001,N.A.,-79.90740621,0.0000001,N.A.,-79.90740621,0.0000001